Date,Name,Sector,Subsector,Business Model,Funding Round Size,Funding Round Type,Investors,Lead Investor
23 Dec 2025,CoreEL Technologies,Advanced Hardware & Technology,Defence Tech,B2B,$30 Mn,Series B,"ValueQuest Scale Fund, 360 ONE Asset Management",ValueQuest Scale Fund
22 Dec 2025,PowerUp Money,Fintech,Investment Tech,B2C,$12 Mn,Series A,"Peak XV Partners, Accel, Blume Ventures, Kae Capital, 8i Ventures, DeVC",Peak XV Partners
23 Dec 2025,Prosperr.io,Fintech,Regulation & Compliance Tech,B2B,$4 Mn,Seed,"Jungle Ventures, Yatra Angel Network, Sadev Ventures",Jungle Ventures
23 Dec 2025,Naxatra Labs,Cleantech,Electric Vehicles,B2B,$3 Mn,Pre-Series A,"Rainmatter, Vijay Shekhar Sharma (Paytm), Aloke Bajpai (ixigo), Mohit Tandon (DelhiverY), Narayan GV, Hemant Daga (Neo Asset Management)",Rainmatter
25 Dec 2025,Oppam,Health Tech,Therapy,B2C,$170K,Seed,"Phoenix Angels, Sandeep Balaji (IncrementumX)",Phoenix Angels
22 Dec 2025,Supply6,Ecommerce,D2C,B2C,–,–,Kriti Sanon (Actor),Kriti Sanon (Actor)
24 Dec 2025,MagicDecor,Ecommerce,D2C,B2C,–,–,Pidilite Ventures,Pidilite Ventures
