Date,Name,Sector,Subsector,Business Model,Funding Round Size,Funding Round Type,Investors,Lead Investor
19 Aug 2025,R For Rabbit,Ecommerce,D2C,B2C,$27 Mn**,Series B,"Filter Capital, 3one4 Capital","Filter Capital, 3one4 Capital"
20 Aug 2025,Kiwi,Fintech,Lending Tech,B2C,$24 Mn,Series B,"Vertex Ventures, Nexus Ventures, Stellaris Venture Partners, Omidyar Network",Vertex Ventures
19 Aug 2025,Beyond Appliances,Ecommerce,D2C,B2C,$4 Mn,Series A,"Fireside Ventures, Dharana Capital",Fireside Ventures
19 Aug 2025,House Of Biryan,Consumer Services,Foodtech,D2C,$3.6 Mn,–,"Bestvantage Investments, MS Dhoni, MD Mohit Goyal, Abhineet Singh",–
21 Aug 2025,Mitra,Ecommerce,D2C,B2C,$1.6 Mn,–,Bestvantage Investments,Bestvantage Investments
21 Aug 2025,PeelON,Enterprise Services,–,B2B,$1 Mn,Seed,"growX ventures, Boston Venture Group, Clean Energy Venture Group, Climate Angels",growX ventures
19 Aug 2025,Hexafun,Ecommerce,D2C,B2C,$512K,Seed,Prajay Advisors,Prajay Advisors
18 Aug 2025,Famyo,Ecommerce,D2C,B2C,$457K,Seed,"IAN Angel Fund, Shivali Vij, Deepank Kumar, Pratik Mathurkar, Uday Sodhi",IAN Angel Fund
19 Aug 2025,ZenZebra,Consumer Services,–,B2C,–,Seed,Rukam Capital,Rukam Capital
